encrypt_id_tail,print_date,cycle,opa_no,balance,treatment
67,5,34,482312800,13.17,3
62,6,35,043181700,4761.55,1
71,7,36,493066400,556.79,1
42,11,37,183214600,85.17,1
73,11,37,191189700,33.46,1
15,12,38,281130600,3272.54,3
76,12,38,372279800,870.44,3
82,12,38,552410000,1207.59,3
77,13,39,181096510,1682.12,4
59,13,39,511028200,2765,4
43,14,40,381041700,42.59,2
62,17,41,073039500,357.41,2
29,18,42,252103400,1550.7,2
83,18,42,871521810,342.2,2
85,19,43,062114700,862.35,3
97,19,43,101230600,2906.17,3
40,19,43,252017000,366.54,3
50,19,43,281134900,39.54,3
85,19,43,282166301,226.96,3
40,19,43,432299200,722.43,3
85,19,43,652228100,23.01,3
13,20,44,031139900,2622.63,1
88,20,44,062217200,92.77,1
87,20,44,062354400,48.67,1
88,20,44,091103840,36.33,1
88,20,44,171294600,1020.52,1
69,20,44,191075200,24.33,1
97,20,44,234200750,5056.99,1
88,20,44,291041000,368.06,1
43,20,44,291178100,41.06,1
22,20,44,331029700,582.5,1
2,20,44,441178900,907.98,1
88,20,44,592003200,1723.18,1
87,20,44,882237500,2100.36,1
87,20,44,882237700,4126.53,1
51,21,45,112101625,681.36,4
89,21,45,112224600,812.03,4
90,21,45,112282600,174.9,4
89,21,45,131257405,124.71,4
89,21,45,162143300,707.85,4
89,21,45,191313700,71.48,4
90,21,45,222016600,2387.72,4
58,21,45,252227800,915.58,4
78,21,45,252569300,1483.78,4
89,21,45,421239300,272.24,4
48,21,45,441282900,468.44,4
95,21,45,604206700,100.38,4
89,21,45,871571010,1145.24,4
89,21,45,884349300,1236.49,4
91,24,46,031173300,664.63,3
71,24,46,032187800,220.53,3
95,24,46,043014400,4045.04,3
