azavea_nbhd,azavea_quad
Hawthorne,Center City
Point Breeze,South Philadelphia
Fox Chase,Northeast Philadelphia
Northern Liberties,North Philadelphia
West Kensington,North Philadelphia
Brewerytown,Northwest Philadelphia
Spring Garden,Northwest Philadelphia
East Mount Airy,Northwest Philadelphia
Queen Village,Center City
Strawberry Mansion,Northwest Philadelphia
Upper Kensington,North Philadelphia
Walnut Hill,West Philadelphia
Chestnut Hill,Northwest Philadelphia
Ludlow,North Philadelphia
Carroll Park,West Philadelphia
Kingsessing,West Philadelphia
Elmwood,West Philadelphia
Hunting Park,North Philadelphia
Fitler Square,Center City
North Central,Northwest Philadelphia
Tioga,Northwest Philadelphia
Logan,Northwest Philadelphia
Modena,Northeast Philadelphia
Rhawnhurst,Northeast Philadelphia
Fishtown - Lower Kensington,North Philadelphia
Richmond,North Philadelphia
Pennypack,Northeast Philadelphia
Ogontz,Northwest Philadelphia
Cobbs Creek,West Philadelphia
Overbrook,West Philadelphia
Allegheny West,Northwest Philadelphia
East Falls,Northwest Philadelphia
Germantown - Westside,Northwest Philadelphia
Lawndale,Northeast Philadelphia
Oxford Circle,Northeast Philadelphia
Tacony,Northeast Philadelphia
Cedar Park,West Philadelphia
Whitman,South Philadelphia
Grays Ferry,South Philadelphia
Bustleton,Northeast Philadelphia
Olney,North Philadelphia
Juniata Park,North Philadelphia
Belmont,West Philadelphia
Glenwood,Northwest Philadelphia
Penrose,West Philadelphia
Haddington,West Philadelphia
Feltonville,North Philadelphia
Graduate Hospital,Center City
West Passyunk,South Philadelphia
Franklinville,North Philadelphia
Society Hill,Center City
Fairmount,Northwest Philadelphia
Stanton,Northwest Philadelphia
Stadium District,South Philadelphia
Wister,Northwest Philadelphia
West Oak Lane,Northwest Philadelphia
Lower Moyamensing,South Philadelphia
East Passyunk,South Philadelphia
Girard Estates,South Philadelphia
Mayfair,Northeast Philadelphia
Southwest Schuylkill,West Philadelphia
Harrowgate,North Philadelphia
Holmesburg,Northeast Philadelphia
Paschall,West Philadelphia
Melrose Park Gardens,North Philadelphia
Nicetown,Northwest Philadelphia
Wynnefield,West Philadelphia
Parkwood Manor,Northeast Philadelphia
Frankford,Northeast Philadelphia
Germantown - Morton,Northwest Philadelphia
East Kensington,North Philadelphia
Rittenhouse,Center City
Washington Square West,Center City
Cedarbrook,Northwest Philadelphia
West Parkside,West Philadelphia
Mill Creek,West Philadelphia
Hartranft,North Philadelphia
East Oak Lane,North Philadelphia
Wissahickon,Northwest Philadelphia
Torresdale,Northeast Philadelphia
Francisville,Northwest Philadelphia
Roxborough,Northwest Philadelphia
West Central Germantown,Northwest Philadelphia
Manayunk,Northwest Philadelphia
University City,West Philadelphia
Bridesburg,Northeast Philadelphia
Summerdale,Northeast Philadelphia
Clearview,West Philadelphia
Pennsport,South Philadelphia
Fairhill,North Philadelphia
Chinatown,Center City
Wissinoming,Northeast Philadelphia
West Mount Airy,Northwest Philadelphia
Upper Roxborough,Northwest Philadelphia
Southwest Germantown,Northwest Philadelphia
Powelton,West Philadelphia
West Park,West Philadelphia
Mantua,West Philadelphia
Newbold,South Philadelphia
Bella Vista,Center City
Packer Park,South Philadelphia
McGuire,North Philadelphia
Passyunk Square,South Philadelphia
East Germantown,Northwest Philadelphia
Northwood,Northeast Philadelphia
Greenwich,South Philadelphia
Fern Rock,North Philadelphia
Somerton,Northeast Philadelphia
Northeast Phila Airport,Northeast Philadelphia
Dickinson Narrows,South Philadelphia
Dearnley Park,Northwest Philadelphia
Yorktown,North Philadelphia
Millbrook,Northeast Philadelphia
Lexington Park,Northeast Philadelphia
Academy Gardens,Northeast Philadelphia
Center City East,Center City
Old City,Center City
Old Kensington,North Philadelphia
West Powelton,West Philadelphia
Sharswood,Northwest Philadelphia
Crescentville,Northeast Philadelphia
Winchester Park,Northeast Philadelphia
Morrell Park,Northeast Philadelphia
Eastwick,West Philadelphia
Germany Hill,Northwest Philadelphia
Germantown - Penn Knox,Northwest Philadelphia
East Parkside,West Philadelphia
Logan Square,Center City
Roxborough Park,Northwest Philadelphia
Riverfront,South Philadelphia
Dunlap,West Philadelphia
Navy Yard,South Philadelphia
Garden Court,West Philadelphia
Spruce Hill,West Philadelphia
Normandy Village,Northeast Philadelphia
Callowhill,North Philadelphia
Aston-Woodbridge,Northeast Philadelphia
Haverford North,West Philadelphia
West Poplar,North Philadelphia
Crestmont Farms,Northeast Philadelphia
Wynnefield Heights,West Philadelphia
Bartram Village,West Philadelphia
East Poplar,North Philadelphia
Wissahickon Hills,Northwest Philadelphia
Pennypack Woods,Northeast Philadelphia
Andorra,Northwest Philadelphia
Industrial,South Philadelphia
Burholme,Northeast Philadelphia
Byberry,Northeast Philadelphia
Woodland Terrace,West Philadelphia
Wissahickon Park,Northwest Philadelphia
Pennypack Park,Northeast Philadelphia
Franklin Mills,Northeast Philadelphia
